"","Place","Diptank","lat","long","cattle","cattle_farmers","cows","agcows","goats","aggoats"
"1",1,"Hlanjwana",-26.944757,32.340249,1619,74,1277.96949463136,1522.87997467271,424.694566194307,529.292055253226
"2",2,"Madlakude",-26.990705,32.302522,784,56,2306.33254104764,2148.65759709441,802.614016583369,821.224959022004
"3",3,"Masondo",-26.933019,32.708617,1000,35,1857.74250209081,1644.86941248349,698.14455419288,581.769120979708
"4",4,"Mbangwini",-26.917289,32.352865,247,15,1277.96949463136,1145.64908870243,424.694566194307,425.895372934914
"5",5,"Mpala",-26.940933,32.215106,2772,151,1397.37277044353,1164.04375156262,505.152777884438,418.802234009065
"6",6,"Namaneni",-26.986138,32.269888,3073,192,2306.33254104764,2107.06931683226,802.614016583369,811.719525397215
"7",7,"Ndumo",-26.937705,32.256461,1196,77,2306.33254104764,1446.47351577685,802.614016583369,509.374909053064
"8",8,"Phelandaba",-27.05344,32.550765,3984,67,1091.80570224313,1249.71125500315,345.111030014103,344.096883386513
"9",9,"Shemula",-27.083157,32.256048,993,37,2180.68470292295,2107.40383609094,991.299461229558,834.695093331375
